source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,2024-09-17T13:00:22Z,[Removed]
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,The Postmaster General Is Stoking Election Fears Again,"Like four years ago, the Trump-nominated Trump donor, Louis DeJoy, who also happens to run the USPS, is being accused of screwing with the election.",https://gizmodo.com/the-postmaster-general-is-stoking-election-fears-again-2000501485,https://gizmodo.com/app/uploads/2024/09/Postmaster-General-Louis-DeJoy-Testifying-Before-Congress.jpg,2024-09-20T20:05:21Z,"Ever since he was nominated by Donald Trump’s administration for the top spot at the U.S. Postal Service, Postmaster General Louis DeJoy has been accused of fucking up the mail. Sometimes he has been… [+3814 chars]"
"{'id': 'wired', 'name': 'Wired'}",Jason Parham,The Shade Room Founder Is Ready to Dial Down the Shade,"Angie Nwandu dishes on Diddy, Donald Trump, the responsibility of the Black press, and what it takes to build a lasting media empire.",https://www.wired.com/story/dial-up-angie-nwandu-the-shade-room/,"https://media.wired.com/photos/66ec717e23695b00e7ecb2a5/191:100/w_1280,c_limit/dial-up-Angie-Nwandu-Culture.jpg",2024-09-20T17:49:30Z,"Angie Nwandu launched The Shade Room in 2014 as a side hustle. Today, that side hustlewhich grew from an Instagram-only celebrity tabloid into a media company with a 40-person staffreaches 29 million… [+3156 chars]"
"{'id': 'wired', 'name': 'Wired'}",Alistair Charlton,"Trump's $100,000 Watches Are the Most Tragic Celebrity Watch Yet","Former president Donald Trump wants you to buy gaudy, overpriced timepieces “made for those who combine boldness and elegance.” He got one part right.",https://www.wired.com/story/trumps-dollar100000-watches-are-the-most-tragic-celebrity-watch-yet/,"https://media.wired.com/photos/66f6c5b5c143415d72625aca/191:100/w_1280,c_limit/trump-watches-pol.jpg",2024-09-27T17:48:08Z,"Celebrities partnering with watch brands is nothing new. Sometimes a bona fide watch enthusiast like John Mayer partners with Audemars Piguet, or Ed Sheeran (owner of a unique Patek Philippe, no less… [+2694 chars]"
"{'id': 'wired', 'name': 'Wired'}",Lily Hay Newman,The US Could Finally Ban Inane Forced Password Changes,"Plus: The US Justice Department indicts three Iranians over Trump campaign hack, EU regulators fine Meta $100 million for a password security lapse, and the Tor Project enters a new phase.",https://www.wired.com/story/nist-password-guidance-improvements/,"https://media.wired.com/photos/66f71df9f2d2c6098e413b67/191:100/w_1280,c_limit/Security_Roundup_Password_GettyImages.jpg",2024-09-28T10:30:00Z,"Researchers found a vulnerability in a Kia web portal that allowed them to track millions of cars, unlock doors, honk horns, and even start engines in seconds, just by reading the car's license plate… [+4741 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Cat ‘Stolen’ by Haitian Migrants in Ohio Was Actually Just in Cat Owner’s Basement,Donald Trump and JD Vance keep spreading debunked conspiracies.,https://gizmodo.com/cat-stolen-by-haitian-migrants-in-ohio-was-actually-just-in-cat-owners-basement-2000500328,https://gizmodo.com/app/uploads/2024/09/springfield-ohio-cats-immigrants-trump.jpg,2024-09-18T18:45:00Z,"Donald Trump’s presidential campaign has spent the past week spreading heinous lies about Haitian immigrants in the town of Springfield, Ohio. “They’re eating the cats, they’re eating the dogs,” Trum… [+6206 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Elizabeth Lopatto,JD Vance sells himself to Silicon Valley,"JD Vance’s appearance on the All-In podcast was useful for both him and his donor, David Sacks. Vance is selling his ticket, and Sacks is flexing his influence. Who benefits?",https://www.theverge.com/2024/9/14/24244137/jd-vance-all-in-david-sacks-trump,https://cdn.vox-cdn.com/thumbor/a5tIZhUww8LKWrK9uvaPfndK0Ew=/0x0:2040x1334/1200x628/filters:focal(1123x602:1124x603)/cdn.vox-cdn.com/uploads/chorus_asset/file/25532395/STK204_JD_VANCE_B.jpg,2024-09-14T12:30:00Z,"JD Vance sells himself to Silicon Valley
JD Vance sells himself to Silicon Valley
 / Always exciting to see a brand collab!
ByElizabeth Lopatto, a reporter who writes about tech, money, and human … [+8840 chars]"
"{'id': 'wired', 'name': 'Wired'}","Andy Greenberg, Lily Hay Newman, Dhruv Mehrotra",Iranian Hackers Tried to Give Hacked Trump Campaign Emails to Dems,"Plus: The FBI dismantles the largest-ever China-backed botnet, the DOJ charges two men with a $243 million crypto theft, Apple’s MacOS Sequoia breaks cybersecurity tools, and more.",https://www.wired.com/story/iran-hackers-trump-democrats-emails/,"https://media.wired.com/photos/66ed82cf42ad37094e1a41eb/191:100/w_1280,c_limit/GettyImages-2172740225.jpg",2024-09-21T10:30:00Z,"The week was dominated by news that thousands of pagers, walkie-talkies and other devices were exploding across Lebanon on Tuesday and Wednesday in an attack targeting the militant group Hezbollah. A… [+6624 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Elon Musk’s Super PAC Is Reportedly Doing a Terrible Job Running Trump’s Voter Turnout Program,Musk's full-throated support for Trump may turn out to be a gift to Democrats.,https://gizmodo.com/elon-musks-super-pac-is-reportedly-doing-a-terrible-job-running-trumps-voter-turnout-program-2000503894,https://gizmodo.com/app/uploads/2024/09/Elon-Musk-speaks-at-the-Milken-Institutes-Global-Conference.jpg,2024-09-26T20:50:03Z,"Elon Musk has vowed to help Donald Trump secure a second presidency. Not only has he turned the platform formerly known as Twitter into a 24/7 MAGA propaganda apparatus, but he’s also committed huge … [+4331 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Why Is Trump Posting So Many AI Cat Pictures,Trump is causing real-world harm to the Haitian community in Ohio.,https://gizmodo.com/why-is-trump-posting-so-many-ai-cat-pictures-2000498293,https://gizmodo.com/app/uploads/2024/09/trump-mouth-agape-getty.jpg,2024-09-13T13:10:31Z,"When Donald Trump said during the presidential debate on Tuesday that Haitian immigrants were eating cats and dogs in Ohio, it was probably the first time most Americans had ever heard such a ridicul… [+6741 chars]"
